Feature ID	Taxon	Consensus
001df8ded02e33d5461bdc52657a4aa5	Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;Methylobacterium_sp.;	1.0
004610d70fb6092436394ca4b09bf6fb	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-2;Dino-Group-II-Clade-2_X;Dino-Group-II-Clade-2_X_sp.;	0.714
007f4802641b6a63e91e1c2d6c4faec3	Eukaryota;Obazoa;Opisthokonta;Metazoa;Urochordata;Urochordata_X;Ascidiacea;Diplosoma	0.625
007fc555af5e0ce127aa7e4a3de6d499	Eukaryota;Archaeplastida;Prasinodermophyta;Prasinodermophyta_X;Prasinodermophyceae;Prasinodermales;Prasinodermaceae;Prasinoderma;Prasinoderma_coloniale;	1.0
008cc4a34833680ea233e92ec693325f	Eukaryota	1.0
0092341f779a18d10ee27add75381915	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis_sp.;	0.571
00b11a0f2d7e9b838ac0f37354e9b828	Eukaryota;Obazoa;Opisthokonta;Fungi	0.9
00d842dd39c654e6d011d013dddcd72b	Eukaryota;Obazoa;Opisthokonta;Fungi	0.9
0103e514366ae975386471ecb2b95ad1	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis	0.714
011a064e521ed93161bce7cc51caf891	Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;Sarcocystidae;Sarcocystis5;Sarcocystis5_tenella;	0.571
0122173dc9fc710bbe030120bc42ca4d	Eukaryota	1.0
01a2b872611fb82d8871e35a9721f55d	Eukaryota;Archaeplastida;Rhodophyta;Rhodophyta_X;Bangiophyceae;Cyanidiales;Cyanidiales_X;Galdieria	0.6
01d1b0e626ff70e019ebf1183a2ef4ec	Eukaryota;Obazoa;Opisthokonta;Fungi	0.9
01f18fecb04c8218c85c1a94520be722	Eukaryota;Obazoa;Opisthokonta;Fungi	0.7
020258c1e9b4f135e4803ec42a73676e	Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium;Methylobacterium_sp.;	1.0
0216ab61017481f0414256a28bdda362	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Thraustochytriaceae;Thraustochytriaceae_HK10;Thraustochytriaceae_HK10_sp.;	0.571
023a35fbf5562bd636682e7ae3c5d485	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida	0.556
024a85f3e996c7d4e0d09245a38ddff4	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae	0.625
024b68aff4ee4f8cf27813f2c623b0b6	Unassigned	1.0
0254601cd6baa2a1c00f6a6d85cb8436	Eukaryota;TSAR;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Chromeraceae;Chromera;Chromera_velia;	0.833
0292cd93eb69918664c1f3771c8e7c20	Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;CONThreeP_XX;Askenasia;Askenasia_sp.;	0.625
02dc315fe60dc9d80ce8d2254e857b23	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3	0.6
02e126adb09dcb5c052380492b5c2d38	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Thraustochytriaceae;Thraustochytriaceae_HK10;Thraustochytriaceae_HK10_sp.;	0.571
02f19da95473be234d0723ea274eb8fd	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II	0.714
03276070f119af608acaf6dd683ff1b8	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales;Chlorellales_X	0.625
03483521e84ba8f524d084194192c2ce	Eukaryota;Obazoa;Opisthokonta	0.875
035445b7cf05c9bcf3a4d1be6893dc83	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae	0.714
036defb3e4a6dc55698b6b37746a8fe4	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa	0.625
038a2af7cd849bbfbbd2c4e332063504	Eukaryota	1.0
03d8b15d76acaf3515aa0f484ce504cf	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Thraustochytriaceae;Thraustochytriaceae_LAB17;Thraustochytriaceae_LAB17_sp.;	0.571
03efe78ef6b1dfd9ca31d8c3a62485a5	Eukaryota:plas;Archaeplastida:plas	0.6
03f5b444e138fdfd5f7a29a220992b9c	Eukaryota:plas	0.6
